Ano Enade,"Código da IES","Nome da IES","Sigla da IES","Organização Acadêmica","Categoria Administrativa","Código do Curso","Código da Área","Área de Enquadramento","Modalidade de Ensino","Código do Município","Município do Curso","Sigla da UF","Concluintes Inscritos","Concluintes Participantes","Nota Bruta - FG","Nota Bruta - CE","Nota Contínua do Enade","Concluintes Participantes com nota no Enem","Percentual de Concluintes participantes com nota no Enem","Nota Bruta - IDD","Nota Padronizada - IDD","Nota Bruta - Organização Didático-Pedagógica","Nota Padronizada - Organização Didático-Pedagógica","Nota Bruta - Infraestrutura e Instalações Físicas","Nota Padronizada - Infraestrutura e Instalações Físicas","Nota Bruta - Oportunidades de Ampliação da Formação","Nota Padronizada - Oportunidades de Ampliação da Formação","Nr. de Docentes","Nota Bruta - Mestres","Nota Padronizada - Mestres","Nota Bruta - Doutores","Nota Padronizada - Doutores","Nota Bruta - Regime de Trabalho","Nota Padronizada - Regime de Trabalho","CPC Contínuo","CPC Faixa",Observação
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",37,5,"MEDICINA VETERINÁRIA","Educação Presencial",5103403,CUIABÁ,MT,29,29,"50,76896667480469","51,510345458984375","3,0492372512817383",27,"0,931034505367279","-0,8728068470954895","1,939713809229532","3,9258692264556885",0,"3,6703238487243652","0,6282042850118539","4,117897987365723","2,252057639025567",49,"0,9591836734693877","4,366272824919441","0,8979591836734694","4,420222634508349",1,5,"2,741962795758126",3,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",100763,5,"MEDICINA VETERINÁRIA","Educação Presencial",5107909,SINOP,MT,31,30,"48,4466667175293","51,55666732788086","2,9661760330200195",25,"0,8333333134651184","-0,3635426461696625","2,323060933849099","4,3596696853637695","1,0457403757787054","4,137962818145752","1,5057606104086045","3,9664361476898193","2,030917444433251",38,1,5,"0,868421052631579","4,252392344497608",1,5,"2,998656879940494",4,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",12,12,MEDICINA,"Educação Presencial",5103403,CUIABÁ,MT,35,33,"63,16666793823242","68,50605773925781","2,937783718109131",31,"0,939393937587738","-3,4093246459960938",0,"4,56174373626709","1,1332164161022715","4,116260051727295","1,6324641250515615","4,000721454620361","1,6271498768039878",27,"0,7777777777777778","3,4992784992784993","0,5925925925925926","2,9091584091251073",1,5,"1,8686695768168278",2,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",9,17,AGRONOMIA,"Educação Presencial",5103403,CUIABÁ,MT,54,52,"55,713462829589844","63,83654022216797","3,406954288482666",44,"0,8461538553237915","-0,2609739601612091","2,698600022513973","4,910429000854492","1,6419547414065485","4,435325622558594","2,195042651446164","4,423280239105225","2,303106008401213",69,"0,9130434782608695","3,9751552795031047","0,8260869565217391","4,084668192219681",1,5,"3,2022141287599384",4,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",100778,17,AGRONOMIA,"Educação Presencial",5107909,SINOP,MT,81,76,"47,33420944213867","59,27894592285156","2,5754988193511963",62,"0,8157894611358643","-1,4332423210144043","1,9904512066823867","4,823122024536133","1,3728756468840957","4,293434143066406","1,9406769164172526","4,387683868408203","2,242220338901491",61,"0,9508196721311475","4,420374707259953","0,7704918032786885","3,7920621225194133",1,5,"2,7431501354411902",3,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",116662,17,AGRONOMIA,"Educação Presencial",5101803,"BARRA DO GARÇAS",MT,20,17,"48,62941360473633","58,98235321044922","2,5938801765441895",15,"0,8823529481887817","-1,8127959966659546","1,7611688214088062","4,864874839782715","1,5015573421399997","3,792583703994751","1,0428133482173805","3,7525062561035156","1,155783339310353",22,"0,9090909090909091","3,928571428571428","0,8181818181818182","4,043062200956938",1,5,"2,6049393616424457",3,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",21442,19,FARMÁCIA,"Educação Presencial",5106653,"PONTAL DO ARAGUAIA",MT,15,13,"47,16923141479492","52,93077087402344","2,668496608734131",13,1,"-0,3474520146846771","2,2624087398665034","5,4877095222473145","3,4496473161974794","4,501313209533691","1,8911988746106176","5,17301607131958","3,638976291906854",26,"0,8846153846153846","3,7412587412587412","0,7307692307692307","3,6538461538461533",1,5,"2,9734716091144437",4,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",116720,19,FARMÁCIA,"Educação Presencial",5107909,SINOP,MT,19,19,"60,38420867919922","62,07894515991211","4,041170597076416",19,1,"0,8061570525169373","2,763905161764068","4,6409735679626465","0,8871570568507818","4,3094096183776855","1,4931236370445156","4,624060153961182","2,735522195265601",36,"0,9444444444444444","4,393939393939394","0,8333333333333334","4,166666666666666",1,5,"3,3147273965758357",4,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",17,23,ENFERMAGEM,"Educação Presencial",5103403,CUIABÁ,MT,29,28,"48,121429443359375","46,97856903076172","3,028533697128296",27,"0,9642857313156128","-0,1875891536474228","2,415292007167606","5,334916114807129","2,503962966263695","5,097328186035156","3,0447542474311735","4,6945576667785645","2,762098918312647",44,"0,8636363636363636","4,076246334310851","0,5227272727272727","2,6136363636363633",1,5,"2,9329102793522415",3,
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",100770,23,ENFERMAGEM,"Educação Presencial",5107909,SINOP,MT,12,12,"39,241668701171875","55,09166717529297","3,6028079986572266",11,"0,9166666865348816","1,379709243774414","3,1530304312392166","5,595685005187988","3,482619677286235","5,150883674621582","3,160758912654314","5,377777576446533","3,933333017258426",39,"0,8461538461538461","3,9578163771712167","0,5384615384615384","2,6923076923076916",1,5,"3,4173723796598106",4,
